Time,Flux
0,1
2,0.951612903
4,0.941935484
6,0.938709677
8,0.929032258
10,0.925806452
12,0.941935484
14,0.916129032
16,0.909677419
18,0.910034
20,0.874193548
22,0.890322581
24,0.883870968
26,0.883870968
28,0.877419355
30,0.877419355
32,0.877419355
34,0.880645161
36,0.870967742
38,0.870967742
40,0.841935484
42,0.864516129
44,0.883870968
46,0.858064516
48,0.880645161
50,0.874193548
52,0.874193548
54,0.874193548
56,0.874193548
58,0.870967742
60,0.848387097
62,0.864516129
64,0.870967742
66,0.890645161
68,0.893548387
70,0.893548387
72,0.8965
74,0.870967742
76,0.858064516
78,0.85483871
80,0.867741935
82,0.867741935
84,0.841935484
86,0.85483871
88,0.84516129
90,0.84516129
92,0.851612903
94,0.84516129
96,0.825806452
98,0.841935484
100,0.816129032
102,0.793548387
104,0.812903226
106,0.793548387
108,0.793548387
110,0.793548387
112,0.767741935
114,0.774193548
116,0.787096774
